"WARNING: The scale bar of 20um is incorrect. The real value is 200um which is the value used for length determination.",,
ImageName,Length,Length_corrected
Image_827.jpg,271.2216,259.4227
Image_828.jpg,251.6081,236.1371
Image_829.jpg,390.3061,369.3546
Image_829.jpg,456.461,429.2329
Image_829.jpg,384.0568,367.1282
Image_829.jpg,331.7779,309.2903
Image_830.jpg,423.2767,397.4708
Image_831.jpg,527.8547,491.716
Image_831.jpg,343.3206,326.4382
Image_832.jpg,396.8665,376.0344
Image_833.jpg,388.9228,372.6839
Image_834.jpg,334.8152,315.6771
Image_834.jpg,355.1281,335.8321
Image_834.jpg,317.9221,308.4438
Image_834.jpg,328.9471,315.3315
Image_834.jpg,402.6515,386.0393
Image_835.jpg,407.2467,387.2727
Image_836.jpg,398.162,382.2604
Image_836.jpg,425.2977,402.2331
Image_837.jpg,419.9686,395.9112
Image_838.jpg,350.9485,332.1292
Image_839.jpg,318.3234,302.8712
Image_839.jpg,280.3016,266.5772
Image_840.jpg,456.4396,434.2815
Image_841.jpg,363.6276,346.5705
Image_841.jpg,421.9207,403.6285
Image_842.jpg,491.7482,467.0299
Image_842.jpg,363.6276,347.2967
Image_843.jpg,391.7452,370.036
Image_843.jpg,352.8234,331.9814
Image_844.jpg,368.0768,349.8218
Image_844.jpg,419.0828,396.0183
Image_845.jpg,435.5402,412.7824
Image_845.jpg,399.3719,377.6037
Image_845.jpg,498.102,470.8209
Image_845.jpg,438.3424,413.995
Image_845.jpg,372.1674,354.5494
Image_845.jpg,282.135,267.7446
Image_845.jpg,351.4531,328.0114
Image_846.jpg,493.6445,468.0643
Image_847.jpg,356.1861,342.7556
Image_848.jpg,466.9731,437.9319
Image_849.jpg,436.6468,410.0481
Image_849.jpg,308.4335,292.3819
Image_850.jpg,408.3071,383.8234
Image_851.jpg,400.0012,379.2657
Image_852.jpg,396.8035,376.5742
Image_853.jpg,329.4945,312.032
Image_854.jpg,457.5131,436.0276
Image_854.jpg,345.7085,327.8806
Image_855.jpg,413.1707,396.9157
